Year,Count
2011,284141
2012,138380
2013,103369
2014,656491
2015,954823
2016,842444
2017,791962
2018,1781420
2019,1111124
2020,1585418
2021,2686898
2022,2166199
2023,2731698
2024,13939213
2025,19235942
